"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like View Ratio","days_from_pub_to_trend"
4713791,478,1483,530,2018,1,11,2018,1,16,"Film & Animation",0.000101404580729184,5
1225593,28014,861,3978,2017,12,5,2017,12,12,"Film & Animation",0.0228575065294923,7
588196,6264,132,749,2018,1,30,2018,1,31,"Film & Animation",0.0106495113873607,1
1978347,13875,5621,3284,2017,12,21,2018,1,1,"Film & Animation",0.00701343090974435,15
1364674,38859,5376,5653,2018,5,1,2018,5,11,"Film & Animation",0.0284749324747156,10
4824543,125209,8253,21624,2018,2,27,2018,3,6,"Film & Animation",0.0259525099061196,9
1322683,5866,660,534,2017,12,26,2018,1,2,"Film & Animation",0.00443492507274986,11
1733974,163966,1221,9495,2018,2,24,2018,3,6,"Film & Animation",0.0945608180976185,12
5222436,12421,2759,1687,2018,3,21,2018,4,5,"Film & Animation",0.00237839199944241,14
2339940,82038,1925,7852,2017,12,5,2017,12,13,"Film & Animation",0.0350598733300854,8
660906,19522,462,3666,2018,2,7,2018,2,12,"Film & Animation",0.0295382399312459,5
4251667,14290,375,2600,2017,11,16,2017,11,20,"Film & Animation",0.00336103462477188,4
639104,9611,204,666,2018,3,9,2018,3,15,"Film & Animation",0.0150382410374524,6
1251859,38054,1217,4928,2018,5,16,2018,5,25,"Film & Animation",0.0303979921061397,9
707934,25079,1596,3167,2018,4,6,2018,4,17,"Film & Animation",0.0354256187723714,11
3254317,72577,3648,9957,2018,2,27,2018,3,8,"Film & Animation",0.0223017610146768,11
5376583,32001,3025,5050,2017,12,13,2017,12,20,"Film & Animation",0.005951921508512,7
16676257,343907,5641,17945,2018,2,7,2018,2,11,"Film & Animation",0.0206225533703396,4
3611833,277570,8522,37011,2018,2,21,2018,2,28,"Film & Animation",0.0768501755202968,7
1144108,35918,1151,4650,2018,5,16,2018,5,21,"Film & Animation",0.0313938893880648,5
552801,3856,149,534,2018,4,27,2018,5,9,"Film & Animation",0.00697538535567048,12
19854531,394032,4450,26701,2018,4,19,2018,5,5,"Film & Animation",0.0198459485142208,16
901489,8619,3312,1969,2017,12,21,2017,12,24,"Film & Animation",0.00956084877352913,3
1835311,31698,1918,4470,2018,4,10,2018,4,19,"Film & Animation",0.0172711872810657,9
1204907,48074,1696,2410,2018,4,21,2018,5,2,"Film & Animation",0.0398985149891236,11
2971262,46712,2414,5019,2017,12,19,2017,12,28,"Film & Animation",0.0157212659132719,9
