"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like_View_Ratio","days_from_pub_to_trend"
8464451,70295,5212,2165,2018,1,22,2018,1,27,"Film & Animation",0.00830473234472029,5
1469118,61232,4078,4031,2017,12,7,2017,12,10,"Film & Animation",0.0416794294263633,3
536684,1126,182,22,2017,11,14,2017,11,16,"Film & Animation",0.00209806888224728,2
523861,1933,342,97,2017,12,20,2017,12,21,"Film & Animation",0.00368991010974285,1
1078700,25824,9682,6162,2018,6,7,2018,6,10,"Film & Animation",0.0239399276907389,3
1317632,2219,908,201,2018,2,18,2018,2,21,"Film & Animation",0.00168408174664853,3
1188041,3611,813,0,2018,6,4,2018,6,6,"Film & Animation",0.00303945739246373,2
570018,15838,387,479,2017,12,25,2017,12,29,"Film & Animation",0.0277850874884653,4
673559,1443,539,0,2017,12,20,2017,12,22,"Film & Animation",0.00214235130107385,2
648973,1141,576,143,2018,1,23,2018,1,26,"Film & Animation",0.00175816251215382,3
3232661,27232,2170,2646,2017,12,8,2017,12,10,"Film & Animation",0.00842401971626471,2
1086604,19170,3026,1694,2018,6,12,2018,6,13,"Film & Animation",0.0176421216929074,1
933927,33435,862,1490,2018,6,6,2018,6,9,"Film & Animation",0.0358004426470163,3
1980262,18135,945,3236,2018,5,2,2018,5,5,"Film & Animation",0.00915787910892599,3
1435453,8983,1124,339,2018,5,9,2018,5,11,"Film & Animation",0.00625795480590448,2
16281667,260718,15144,17229,2018,4,10,2018,4,16,"Film & Animation",0.0160129795063368,6
15070716,298541,9081,27080,2018,4,13,2018,4,18,"Film & Animation",0.0198093441612197,5
817747,1580,742,201,2018,1,20,2018,1,23,"Film & Animation",0.00193213793508261,3
5536977,147382,13591,10135,2018,4,28,2018,5,2,"Film & Animation",0.0266177735612772,4
13816180,179821,12707,38572,2018,6,5,2018,6,7,"Film & Animation",0.0130152473404371,2
916148,14657,684,694,2018,3,11,2018,3,15,"Film & Animation",0.0159985067914791,4
1251180,32186,455,4166,2017,11,14,2017,11,16,"Film & Animation",0.0257245160568423,2
3584153,27161,1494,1835,2018,5,4,2018,5,6,"Film & Animation",0.00757808051162994,2
1025505,2741,738,363,2018,1,17,2018,1,18,"Film & Animation",0.00267282948401032,1
15940901,149363,10549,12849,2017,11,19,2017,11,22,"Film & Animation",0.00936979660058111,3
13942445,212387,3925,16102,2018,2,5,2018,2,9,"Film & Animation",0.0152331244627467,4
17613871,369519,7892,45240,2017,11,18,2017,11,22,"Film & Animation",0.0209788637602717,4
5721665,47679,6866,11184,2017,12,8,2017,12,12,"Film & Animation",0.00833306388961954,4
1855500,21641,905,1439,2017,11,18,2017,11,22,"Film & Animation",0.0116631635677715,4
4369014,147238,997,3929,2018,5,10,2018,5,11,"Film & Animation",0.0337005100006546,1
1437772,103995,1060,4384,2018,4,13,2018,4,18,"Film & Animation",0.0723306616069864,5
10099242,208506,39000,16178,2018,1,1,2018,1,8,"Film & Animation",0.0206457078659963,7
811950,16769,3131,5808,2018,5,28,2018,5,30,"Film & Animation",0.0206527495535439,2
554324,12577,475,453,2018,5,11,2018,5,13,"Film & Animation",0.0226888967463072,2
830487,20066,1163,582,2018,5,14,2018,5,18,"Film & Animation",0.0241617267940377,4
9978294,129863,3645,9539,2018,5,16,2018,5,18,"Film & Animation",0.0130145493808862,2
815564,18964,1068,701,2018,3,1,2018,3,6,"Film & Animation",0.0232526202725966,5
1376475,9979,1203,568,2018,5,28,2018,5,30,"Film & Animation",0.00724967761855464,2
2206482,17279,1926,2325,2018,6,7,2018,6,9,"Film & Animation",0.00783101788276542,2
5259398,27185,4367,2016,2018,3,9,2018,3,13,"Film & Animation",0.00516884251771781,4
577513,1617,736,264,2018,5,11,2018,5,12,"Film & Animation",0.0027999369711158,1
1184057,37983,1100,1776,2018,6,6,2018,6,11,"Film & Animation",0.0320786921575566,5
1986439,22239,953,1236,2017,11,18,2017,11,24,"Film & Animation",0.0111954104807648,6
15590958,255107,14678,16709,2018,4,10,2018,4,14,"Film & Animation",0.0163624967753745,4
1844018,4832,1382,0,2017,12,23,2017,12,27,"Film & Animation",0.00262036487713244,4
1551928,15401,745,2681,2018,5,10,2018,5,12,"Film & Animation",0.00992378512405215,2
